EA,ID,Dir,Open_DT,Entry,SL,TP2,Close_DT,Close_Px,Lots,PnL,Reason
Swing,1,SELL,2025-07-07 07:00:00,68.92,69.42,67.39,2025-07-07 11:00:00,69.43,1.97,-101.93,SL
Swing,2,SELL,2025-07-21 07:00:00,69.73,69.2,68.4,2025-07-22 08:00:00,69.21,2.23,125.9,SL
Swing,3,SELL,2025-07-22 13:00:00,68.98,68.94,67.68,2025-07-23 21:00:00,68.95,2.31,83.57,SL
Swing,4,BUY,2025-07-29 12:00:00,70.62,70.67,71.83,2025-07-29 20:00:00,71.83,2.54,204.86,TP2
Swing,5,SELL,2025-08-07 07:00:00,67.97,66.79,66.13,2025-08-08 10:00:00,66.8,1.72,164.26,SL
Swing,6,SELL,2025-08-11 07:00:00,66.7,67.26,65.05,2025-08-11 13:00:00,67.27,1.96,-109.85,SL
Swing,7,SELL,2025-08-13 07:00:00,66.64,66.6,65.58,2025-08-13 15:00:00,66.61,3.02,89.64,SL
Swing,8,SELL,2025-08-15 15:00:00,66.7,66.37,65.48,2025-08-18 09:00:00,66.38,2.66,121.31,SL
Swing,9,SELL,2025-08-18 09:00:00,66.42,66.37,65.16,2025-08-18 18:00:00,66.38,2.65,92.17,SL
Swing,10,SELL,2025-08-19 14:00:00,66.34,66.76,65.11,2025-08-20 10:00:00,66.77,2.73,-115.08,SL
Swing,11,BUY,2025-08-21 14:00:00,67.47,67.1,68.56,2025-08-21 16:00:00,67.09,3.06,-114.3,SL
Swing,12,BUY,2025-08-29 10:00:00,68.25,67.9,69.31,2025-08-29 19:00:00,67.89,3.14,-113.31,SL
Swing,13,BUY,2025-09-01 10:00:00,68.34,68.67,69.33,2025-09-01 18:00:00,68.66,3.32,129.07,SL
Swing,14,BUY,2025-09-18 14:00:00,68.48,68.0,69.95,2025-09-18 18:00:00,67.99,2.27,-113.44,SL
Swing,15,SELL,2025-09-19 16:00:00,67.22,66.44,65.92,2025-09-22 16:00:00,66.45,2.52,166.05,SL
Swing,16,SELL,2025-10-06 15:00:00,64.94,65.46,63.41,2025-10-06 16:00:00,65.47,2.2,-114.48,SL
Swing,17,SELL,2025-10-14 08:00:00,62.66,62.16,61.33,2025-10-14 13:00:00,61.33,2.5,222.51,TP2
Swing,18,SELL,2025-10-20 14:00:00,60.67,60.63,59.39,2025-10-20 17:00:00,60.64,2.68,94.95,SL
Swing,19,BUY,2025-10-29 09:00:00,63.98,63.52,65.35,2025-10-29 11:00:00,63.51,2.55,-119.01,SL
Swing,20,BUY,2025-10-29 13:00:00,63.98,63.47,65.5,2025-10-30 16:00:00,63.46,2.27,-117.57,SL
Swing,21,SELL,2025-11-17 08:00:00,63.35,63.78,62.07,2025-11-17 12:00:00,63.79,2.66,-116.45,SL
Swing,22,BUY,2025-11-19 08:00:00,64.17,63.81,65.27,2025-11-19 10:00:00,63.8,3.1,-115.89,SL
Swing,23,SELL,2025-11-21 16:00:00,61.34,61.94,59.56,2025-11-21 21:00:00,61.95,1.88,-113.71,SL
Swing,24,SELL,2025-11-26 16:00:00,61.62,62.03,60.36,2025-11-26 18:00:00,62.04,2.65,-113.32,SL
Swing,25,SELL,2025-12-15 12:00:00,60.77,60.32,59.86,2025-12-15 21:00:00,60.33,3.59,151.45,SL
Swing,26,SELL,2025-12-18 10:00:00,59.73,59.44,58.47,2025-12-19 10:00:00,59.45,2.65,75.53,SL
Swing,27,SELL,2025-12-19 10:00:00,59.41,59.76,58.34,2025-12-19 14:00:00,59.77,3.18,-115.84,SL
Swing,28,BUY,2025-12-30 16:00:00,61.66,61.34,62.61,2025-12-30 18:00:00,61.33,3.48,-114.77,SL
Swing,29,BUY,2026-01-06 11:00:00,61.7,61.27,63.01,2026-01-06 17:00:00,61.26,2.54,-112.74,SL
Swing,30,SELL,2026-01-07 12:00:00,60.33,60.27,58.9,2026-01-08 11:00:00,60.28,2.3,91.37,SL
