EA,Ticket,Dir,Open_DT,Entry,SL,TP2,Close_DT,Close_Px,PnL,Status
Swing,1,SELL,2023-01-30 07:00:00,77.42,78.47,75.68,2023-01-31 08:00:00,78.48,-101.47,closed
Swing,2,BUY,2023-01-31 08:00:00,78.44,78.99,80.16,2023-02-01 07:00:00,78.98,26.02,closed
Swing,3,SELL,2023-02-13 12:00:00,81.69,80.71,80.04,2023-02-14 09:00:00,80.04,82.4,closed
Swing,4,SELL,2023-02-17 08:00:00,80.59,81.62,78.88,2023-02-17 12:00:00,81.63,-101.74,closed
Swing,5,BUY,2023-02-21 07:00:00,82.7,83.73,84.43,2023-02-21 12:00:00,84.43,84.52,closed
Swing,6,SELL,2023-02-22 12:00:00,83.25,83.18,81.23,2023-02-24 13:00:00,83.19,2.38,closed
Swing,7,SELL,2023-03-02 11:00:00,84.38,83.79,82.49,2023-03-03 11:00:00,83.8,25.96,closed
Swing,8,BUY,2023-03-09 10:00:00,88.77,89.37,90.64,2023-03-10 12:00:00,90.64,84.58,closed
Swing,9,BUY,2023-03-13 08:00:00,91.48,90.27,93.51,2023-03-13 14:00:00,90.26,-104.07,closed
Swing,10,BUY,2023-03-16 13:00:00,88.08,88.14,90.1,2023-03-17 12:00:00,88.13,2.24,closed
Swing,11,BUY,2023-03-20 16:00:00,88.72,89.27,90.74,2023-03-22 07:00:00,89.26,22.98,closed
Swing,12,SELL,2023-03-22 08:00:00,88.28,87.41,86.42,2023-03-22 12:00:00,86.42,85.48,closed
Swing,13,SELL,2023-03-27 13:00:00,86.08,87.43,83.84,2023-03-28 08:00:00,87.44,-105.86,closed
Swing,14,SELL,2023-04-04 08:00:00,85.14,84.61,83.25,2023-04-05 13:00:00,83.25,86.7,closed
Swing,15,SELL,2023-04-10 09:00:00,84.16,84.09,82.37,2023-04-11 07:00:00,84.1,2.52,closed
Swing,16,BUY,2023-04-11 14:00:00,84.25,83.22,85.97,2023-04-12 08:00:00,83.21,-106.25,closed
Swing,17,BUY,2023-04-12 12:00:00,84.28,83.22,86.06,2023-04-13 12:00:00,83.21,-105.37,closed
Swing,18,BUY,2023-04-13 15:00:00,84.66,85.1,86.51,2023-04-14 11:00:00,86.51,85.14,closed
Swing,19,SELL,2023-04-18 16:00:00,83.3,84.41,81.46,2023-04-19 10:00:00,81.46,174.81,closed
Swing,20,SELL,2023-04-21 16:00:00,81.61,81.16,79.93,2023-04-24 10:00:00,81.17,23.17,closed
Swing,21,SELL,2023-04-24 14:00:00,81.08,81.01,79.25,2023-04-25 09:00:00,81.02,2.55,closed
Swing,22,SELL,2023-04-27 16:00:00,81.55,82.61,79.79,2023-05-01 13:00:00,82.62,-108.92,closed
Swing,23,BUY,2023-05-03 11:00:00,83.91,84.7,85.74,2023-05-04 11:00:00,85.74,89.8,closed
Swing,24,BUY,2023-05-08 13:00:00,84.86,84.92,86.59,2023-05-10 10:00:00,86.59,88.63,closed
